title,link,source,time
'A very special day and I'm blown away' - Daiquiri Bay leaves Alan King lost for words with thrilling Ebor triumph,https://www.racingpost.com/news/reports/daiquiri-bay-gives-alan-king-and-rossa-ryan-ebor-success-as-wathnan-pair-denied-in-thrilling-finish-atXvK2D3R5pj/,racing_post,
‘We all knew what it meant’ - the incredible inside story of Constitution Hill’s schooling session from hell and glorious rebirth,https://www.racingpost.com/news/features/the-big-read/we-all-knew-what-it-meant-the-incredible-inside-story-of-constitution-hills-schooling-session-from-hell-and-glorious-rebirth-ajmt50K0W5JK/,racing_post,
The Melbourne Cup may be a bridge too far for Alan King - but George Boughey has already swooped to secure a top jockey,https://www.racingpost.com/news/reports/the-melbourne-cup-may-be-a-bridge-too-far-for-alan-king-but-george-boughey-has-already-swooped-to-secure-a-top-jockey-aO0TR8j3xfpW/,racing_post,
Dylan Browne McMonagle goes on a Curragh rampage with stunning 723-1 five-timer,https://www.racingpost.com/news/reports/i-didnt-expect-that-joseph-obrien-taken-aback-as-his-new-juddmonte-recruit-dazzles-on-debut-aXnKL9M95SLM/,racing_post,
"As it happened: Daiquiri Bay claims Ebor glory for Alan King, Dylan Browne McMonagle goes on Curragh rampage and huge gamble foiled at Deauville",https://www.racingpost.com/news/festivals/york-ebor-festival/york-ebor-festival-day-four-2026-live-latest-news-tips-results-rERxr4O8T221/,racing_post,
It's the best juvenile race of the season so far - and Tom Segal is sure this filly with impeccable form is the winner,https://www.racingpost.com/horse-racing-tips/premium-tips/pricewise/its-the-best-juvenile-race-of-the-season-so-far-and-tom-segal-is-sure-this-filly-with-impeccable-form-is-the-winner-aDTTu0D6AWAq/,racing_post,
"'We've won £3,000 on the race - but there were others who would have been a lot better' - Ebor result provides respite for beaten-up bookies",https://www.racingpost.com/news/reports/big-race-reaction/weve-won-3000-on-the-race-but-there-were-others-who-would-have-been-a-lot-better-ebor-result-provides-respite-for-beaten-up-bookies-aFPpX6x9TaZp/,racing_post,
Curragh: just how good is Giant Sequoia? Aidan O'Brien's latest promising juvenile remains ante-post Derby favourite with a gritty performance,https://www.racingpost.com/news/reports/just-how-good-is-giant-sequoia-aidan-obriens-latest-promising-juvenile-remains-ante-post-derby-favourite-with-a-gritty-performance-a0acn6Y9Sqzo/,racing_post,
"'I've won £20,000 twice!' - York racegoer lands two Placepot payouts - despite forgetting placing one of the bets",https://www.racingpost.com/news/festivals/york-ebor-festival/ive-won-20000-twice-york-racegoer-lands-two-placepot-payouts-despite-forgetting-placing-one-of-the-bets-a9VJx1Y0Pz0L/,racing_post,
City of York Stakes: Charlie Appleby 'very privileged' to train Notable Speech as Godolphin ace sets up Breeders' Cup defence with sixth top-level strike,https://www.racingpost.com/news/reports/old-master-notable-speech-shows-a-touch-of-class-in-city-of-york-stakes-aaUmC0U3U7sq/,racing_post,
