title,link,source,time
Rossa Ryan proved right as Constitution Hill suffers first Flat defeat - but Nicky Henderson convinced his star will 'sharpen up',https://www.racingpost.com/news/reports/constitution-hill-suffers-comprehensive-first-defeat-of-flat-career-as-pride-of-arras-holds-off-gethin-at-kempton-aMCzK6k2bnuU/,racing_post,
‘He was the most majestic Flat horse I’ve seen and his story was way bigger than Frankel’s - people today don’t realise how extraordinary it was’,https://www.racingpost.com/news/features/the-big-read/he-was-the-most-majestic-flat-horse-ive-seen-and-his-story-was-unique-way-bigger-than-frankels-people-today-dont-realise-how-extraordinary-it-was-ae5TX3j4iFZE/,racing_post,
"Nicky Henderson swaps Amalfi coast with Gosden and Mullins for Kempton - and leaves vowing Constitution Hill 'is not finished yet, I promise you'",https://www.racingpost.com/news/reports/hes-not-finished-yet-i-promise-you-dream-lives-on-for-constitution-hill-team-after-star-is-beaten-but-unbowed-at-kempton-aMiE82b0Hk9W/,racing_post,
"Sprint Cup: 'That was pretty unbelievable' - Almeraq produces display fit for a champion, one year on from York horror fall",https://www.racingpost.com/news/reports/almeraq-looks-the-champion-sprinter-in-waiting-after-awesome-performance-at-haydock-a4jQg1T0RH09/,racing_post,
What next for Constitution Hill? Barry Geraghty insists there is more to come - but others call for retirement,https://www.racingpost.com/news/racehorses/constitution-hill/what-next-for-constitution-hill-barry-geraghty-insists-there-is-more-to-come-but-others-call-for-retirement-aw7Qr0N46AKr/,racing_post,
'She showed a great turn of foot on both occasions' - Tom Segal with his best bets for Arc Trials day at Longchamp,https://www.racingpost.com/horse-racing-tips/premium-tips/pricewise/she-showed-a-great-turn-of-foot-on-both-occasions-tom-segal-with-his-best-bets-for-arc-trials-day-at-longchamp-apya72L9hAGZ/,racing_post,
Haydock: Godolphin's one million guineas buy First Law follows in Bow Echo's footsteps and kicks off 51-1 treble for William Buick,https://www.racingpost.com/news/reports/godolphins-one-million-guineas-buy-first-law-follows-in-bow-echo-footsteps-and-kicks-off-51-1-treble-for-william-buick-aS4Ig8w9CrVA/,racing_post,
Kentucky Downs: Ryan Moore joins forces with Willie Mullins as a big British and Irish challenge heads Stateside,https://www.racingpost.com/news/raceday-intel/ryan-moore-joins-forces-with-aidan-obrien-and-willie-mullins-as-a-big-british-and-irish-challenge-heads-stateside-agCZ86S6ZfC9/,racing_post,
Arsenal vs Chelsea: Champions can show why they are London's top dogs,https://www.racingpost.com/sport/football-tips/premier-league/arsenal-vs-chelsea-betting-tips-predictions-team-news-odds-bet-builder-amsR98b1q0F5/,racing_post,
"'I’ve never had him this well off a break' - all you need to know as Benvenuto Cellini, Bay City Roller and more trial for the Arc",https://www.racingpost.com/news/raceday-intel/ive-never-had-him-this-well-off-a-break-before-all-the-key-quotes-for-a-big-afternoon-of-arc-trials-at-longchamp-acuzW7U9awH5/,racing_post,
Reigning champion Daryz back at Longchamp and 'in his groove' as all roads lead to the Arc,https://www.racingpost.com/news/raceday-intel/reigning-champion-daryz-back-at-longchamp-and-in-his-groove-as-all-roads-lead-to-the-arc-a6gJL9m2ACVQ/,racing_post,
3.25 Longchamp: no Bow Echo so Gstaad gets his chance to shine in big Moulin clash with Opera Ballo,https://www.racingpost.com/news/raceday-intel/weve-always-had-this-race-in-mind-for-him-no-bow-echo-so-gstaad-gets-his-chance-to-shine-against-opera-ballo-in-big-moulin-clash-aeGAD1G46SNU/,racing_post,
2.25 Baden-Baden: Billy Loughnane partners Giavellotto for the first time as Marco Botti's stable star chases more international riches,https://www.racingpost.com/news/raceday-intel/billy-loughnane-partners-giavellotto-for-the-first-time-as-marco-bottis-stable-star-chases-more-international-riches-arkKr3f6gHBB/,racing_post,
