title,link,source,time
'This lad could be a bit different' - looking for the potential Derby winner as the Dante gives Epsom hopefuls one last chance,https://www.racingpost.com/news/raceday-intel/the-big-story/the-dante-is-the-final-chance-to-stake-a-case-for-epsom-so-where-is-the-potential-derby-winner-in-the-field-atzET4r6aPau/,racing_post,
'There should be loads of improvement to come' - Tom Segal with four fancies on day two of York's Dante festival,https://www.racingpost.com/horse-racing-tips/premium-tips/pricewise/there-should-be-loads-of-improvement-to-come-tom-segal-with-four-fancies-on-day-two-of-yorks-dante-festival-a01Vv5H5v7mj/,racing_post,
Musidora Stakes: 'I think she can do nothing but improve' - Legacy Link cut to 5-1 for the Oaks after hard-fought success,https://www.racingpost.com/news/festivals/york-dante-festival/legacy-link-cut-to-5-1-for-the-oaks-after-hard-fought-success-in-the-musidora-stakes-amx539S5DOj4/,racing_post,
'It's absolutely wild and incredibly exciting' - ITV racing pundit Kevin Blake in dreamland over his live Derby contender,https://www.racingpost.com/news/ireland/its-absolutely-wild-and-incredibly-exciting-itv-racing-pundit-kevin-blake-in-dreamland-over-his-live-derby-contender-a1hwP8j5lnCA/,racing_post,
The Oaks trials have all been run - but is the Epsom winner hiding elsewhere?,https://www.racingpost.com/news/betting-insight/the-oaks-trials-have-all-been-run-but-is-the-epsom-winner-hiding-elsewhere-a89YJ3b2QuwI/,racing_post,
'He's been hitting his ball with relentless consistency' – Steve Palmer has six tips for the US PGA Championship,https://www.racingpost.com/sport/golf-tips/us-pga-championship/steve-palmers-us-pga-championship-predictions-golf-betting-tips-agYtw6m7lNUZ/,racing_post,
Running in the family: Frankel's niece Legacy Link picks up Group victory at York,https://www.racingpost.com/bloodstock/news/running-in-the-family-frankels-niece-legacy-link-picks-up-group-victory-at-york-aM58b0u20X4h/,racing_post,
"York: 'A fast, flat track is what he loves' - course specialist Elmonjed strikes in Minster Stakes to set up Group 1 targets",https://www.racingpost.com/news/festivals/york-dante-festival/a-fast-flat-track-is-what-he-loves-course-specialist-elmonjed-strikes-in-minster-stakes-to-set-up-group-1-targets-aaeI16E9YA15/,racing_post,
Irish Grand National winner Soldier In Milan could sport new silks next season as British owner buys into Aintree candidate,https://www.racingpost.com/news/ireland/irish-grand-national-winner-soldier-in-milan-could-sport-new-silks-next-season-as-british-owner-buys-into-aintree-candidate-aQWPv6v82FXl/,racing_post,
33 runners per meeting? Summer jumping has hit rock bottom and British racing can't just accept this as the norm,https://www.racingpost.com/news/opinion/comment/33-runners-per-meeting-summer-jumping-has-hit-rock-bottom-and-british-racing-cant-just-accept-this-as-the-norm-a178Z8h8hX7D/,racing_post,
Driven round the bend by straight-track handicaps? These are the jockeys to follow if you want to make sense of them,https://www.racingpost.com/news/opinion/ross-brierley/driven-round-the-bend-by-straight-track-handicaps-these-are-the-jockeys-to-follow-if-you-want-to-make-sense-of-them-aftvS0E2pbHs/,racing_post,
Why I disagree with Johnny Dineen over the draw being key in the Guineas - plus Ryan Moore's reaction suggests Chester winner is a star,https://www.racingpost.com/news/opinion/comment/why-i-disagree-with-johnny-dineen-over-the-draw-being-key-in-the-guineas-plus-ryan-moores-reaction-suggests-chester-winner-is-a-star-aWY1H9K7Lksw/,racing_post,
WATCH: Ombudsman steps up his preparations - plus an unbeaten filly impresses for Roger Varian ahead of a weekend assignment,https://www.racingpost.com/news/newmarket-gallops/watch-ombudsman-steps-up-his-preparations-plus-an-unbeaten-filly-impresses-for-roger-varian-ahead-of-a-weekend-assignment-awV2f1Z2LeKC/,racing_post,
4.05 York: can Charlie Appleby emerge from the doldrums with victory in the Dante - or will Christmas come early for Aidan O'Brien?,https://www.racingpost.com/news/festivals/york-dante-festival/can-charlie-appleby-emerge-from-the-doldrums-with-victory-in-the-dante-or-will-christmas-come-early-for-aidan-obrien-acFyD6a7TCEL/,racing_post,
3.30 York: separating a small but high-class Middleton field is a challenge - this classy mare could have the tactical edge,https://www.racingpost.com/news/festivals/york-dante-festival/separating-a-small-but-high-class-middleton-field-is-a-challenge-this-classy-mare-could-have-the-tactical-edge-apo3L0q3414b/,racing_post,
'He can be marked up a fair bit' - Paul Kealy with three tips on day two of the Dante festival at York,https://www.racingpost.com/horse-racing-tips/premium-tips/top-tipsters/he-can-be-marked-up-a-fair-bit-paul-kealy-with-three-tips-on-day-two-of-the-dante-festival-at-york-aEihj3E59DeM/,racing_post,
"Free horseracing tips for Thursday, May 14 for day two of York's Dante meeting",https://www.racingpost.com/horse-racing-tips/todays-top-tips/free-horse-racing-tips-thursday-may-14-for-day-two-of-yorks-dante-meeting-aEiXJ9b3zv1h/,racing_post,
High-class mare Apple Away set for Grade 1 challenge in the French Champion Hurdle,https://www.racingpost.com/news/britain/high-class-mare-apple-away-set-for-grade-1-challenge-in-the-french-champion-hurdle-aJGkO4y6i9Bo/,racing_post,
Callum Shepherd aiming to return 'at the end of next week' after riding with a fractured knee,https://www.racingpost.com/news/britain/callum-shepherd-aiming-to-return-at-the-end-of-next-week-after-riding-with-a-fractured-knee-aFB3b9s0bcmd/,racing_post,
Diamond Necklace the icing on top of a Classic cake for Ecurie des Monceaux,https://www.racingpost.com/bloodstock/news/diamond-necklace-the-icing-on-top-of-a-classic-cake-for-ecurie-des-monceaux-ag6sh1U9fBlm/,racing_post,
'It was a savage season' - Darragh O'Keeffe on his jockeys' title near-miss and three horses to follow for the season ahead,https://www.racingpost.com/news/ireland/darragh-okeeffe-on-his-jockeys-title-near-miss-plus-three-horses-to-follow-for-the-season-ahead-avMuV7g62tUg/,racing_post,
'He's strengthened up a good bit and the main aim will be to get him to the Breeders’ Cup',https://www.racingpost.com/news/features/stable-tours/hes-strengthened-up-a-good-bit-and-the-main-aim-will-be-to-get-him-to-the-breeders-cup-adEEg1F0p1KM/,racing_post,
'He's had a pretty extraordinary time and produced a big effort at the Breeders' Cup - you'd hope he's up to winning a Group 1',https://www.racingpost.com/news/features/stable-tours/hes-had-a-pretty-extraordinary-time-and-produced-a-big-effort-at-the-breeders-cup-youd-hope-hes-up-to-winning-a-group-1-a8sp35i5gkZ9/,racing_post,
'She’ll come forward a lot and winning a Group 1 is the aim this season’,https://www.racingpost.com/news/features/stable-tours/she-has-a-big-pedigree-and-was-impressive-in-her-maiden.-if-the-curragh-goes-well-then-the-irish-guineas-would-be-an-obvious-next-step-a4XKJ5f9buWl,racing_post,
"'That's given us the right to be more audacious and she'll probably go for the 1,000 Guineas'",https://www.racingpost.com/news/features/stable-tours/thats-given-us-the-right-to-be-more-audacious-and-shell-probably-go-for-the-1000-guineas-aTgTl8f3DVLw/,racing_post,
"'I did something so stupid, so ridiculous, so embarrassing that they couldn't possibly broadcast it - Chris Tarrant must have thought I was a prize idiot'",https://www.racingpost.com/news/features/series/i-did-something-so-stupid-so-ridiculous-so-embarrassing-that-they-couldnt-possibly-broadcast-it-chris-tarrant-must-have-thought-i-was-a-prize-idiot-aU8Rf7T0F13p/,racing_post,
