title,link,source,time
'He's in great shape and everything should suit him' - key quotes and Keith Melrose's star ratings for every horse in our full Ayr Gold Cup guide (He's in great shape and everything should suit him' - key quotes and Keith Melrose's star ratings for every horse in our full Ayr Gold Cup guide),https://www.racingpost.com/news/raceday-intel/ayr-gold-cup-runner-by-runner-guide-key-quotes-and-keith-melroses-star-ratings-for-every-horse-aWpT10p6SgYK/,racing_post,
"'He's confidently expected to run a huge race' - Tom Segal with five Saturday selections, including two in the Ayr Gold Cup",https://www.racingpost.com/horse-racing-tips/premium-tips/pricewise/hes-confidently-expected-to-run-a-huge-race-tom-segal-with-five-saturday-selections-including-two-in-the-ayr-gold-cup-a2Es28w3RmRo/,racing_post,
Charlie Appleby 'never worried' about early-season form as he targets huge end to the season in Group 1s at home and abroad,https://www.racingpost.com/news/people/trainers/charlie-appleby-never-worried-about-early-season-form-as-he-targets-huge-end-to-the-season-in-group-1s-at-home-and-abroad-a20u92C579Q2/,racing_post,
Billionaire businessman and former trainer Luke Comer disqualified from racing over unpaid €1.3 million,https://www.racingpost.com/news/industry/racing-industry/billionaire-businessman-and-former-trainer-luke-comer-declared-a-disqualified-person-from-racing-over-1.3-million-owed-to-ihrb-a8Y7W0b37apo/,racing_post,
"'Take the 9-2 and also the 50-1 for Champions Day' - Johnny Dineen and DJ share their weekend tips, Classic views and Arc fancies",https://www.racingpost.com/horse-racing-tips/premium-tips/johnny-v-dj/take-the-9-2-and-also-the-50-1-for-champions-day-johnny-dineen-and-dj-share-their-weekend-tips-classic-views-and-arc-fancies-al2gE0R9qpbj/,racing_post,
'He has a huge chance and will have massive help from the saddle' - our experts give their best weekend bets,https://www.racingpost.com/news/raceday-intel/the-punting-panel/he-has-a-huge-chance-and-will-have-massive-help-from-the-saddle-our-experts-give-their-best-weekend-bets-aRrzJ8e7sxWA/,racing_post,
'Something has to be done' - Noel Meade adds to calls for review of interference rules in wake of Irish Champion Stakes,https://www.racingpost.com/news/people/trainers/something-has-to-be-done-noel-meade-adds-to-calls-for-review-of-interference-rules-in-wake-of-irish-champion-stakes-a1ZyG5W4syvY/,racing_post,
"'To be fair, I’ve got no chance' - Newmarket trainers turn jockeys in unusual Saturday race",https://www.racingpost.com/news/flat-racing/to-be-fair-ive-got-no-chance-newmarket-trainers-go-head-to-head-in-unusual-saturday-race-a0fWT0P4xcLa/,racing_post,
'I went up to Richard Spencer in the car park and said I'm not doing very well' – how Saffie Osborne got the ride on Ayr Gold Cup gamble,https://www.racingpost.com/news/raceday-intel/the-big-story/if-i-had-to-pick-one-it-would-be-saffies-last-years-winning-team-bullish-about-ayr-gold-cup-gamble-a9V7v7g9aQgk/,racing_post,
"2026 Ayr Gold Cup tips: the runners, the odds, the verdict",https://www.racingpost.com/news/raceday-intel/2026-ayr-gold-cup-tips-the-runners-the-odds-the-verdict-a0cwy7c9SG3t/,racing_post,
